Block Name,No. of GPs,Target of DSC de-enrolment,No. of DSC De-enrolled,% of Pending DSC De-enrolment,Target of DSC enrolment,No. of DSC Enrolled,Target of XML generation and sign,No. of XML generated and signed,% of Pending XML signing
BOLPUR-SRINIKETAN,9,18,18,0.0,18,3,18,0,100.0
DUBRAJPUR,10,20,20,0.0,20,5,20,0,100.0
ILLAMBAZAR,9,18,18,0.0,18,2,18,0,100.0
KHOYRASOL,10,20,20,0.0,20,19,20,0,100.0
LABPUR,11,22,22,0.0,22,6,22,0,100.0
MAYURESWAR-I,9,18,18,0.0,18,0,18,0,100.0
MAYURESWAR-II,7,14,14,0.0,14,2,14,0,100.0
MOHAMMAD BAZAR,12,24,24,0.0,24,21,24,13,45.83
MURARAI-I,7,14,14,0.0,14,0,14,0,100.0
MURARAI-II,9,18,18,0.0,18,2,18,0,100.0
NALHATI-I,9,18,18,0.0,18,2,18,0,100.0
NALHATI-II,6,12,12,0.0,12,7,12,4,66.67
NANOOR,11,22,22,0.0,22,1,22,0,100.0
RAJNAGAR,5,10,10,0.0,10,10,10,2,80.0
RAMPURHAT-I,9,18,18,0.0,18,2,18,0,100.0
RAMPURHAT-II,9,18,18,0.0,18,1,18,0,100.0
SAINTHIA,12,24,24,0.0,24,11,24,3,87.5
SURI-I,7,14,14,0.0,14,0,14,0,100.0
SURI-II,6,12,12,0.0,12,12,12,10,16.67
