Block Name,Total Workers,Aadhaar Seeded,Aadhaar Seeded Gap,Authentication Failures,e-KYC Yesterday,e-KYC Today,Progress Today,% e-KYC,Remarks
SAINTHIA,83462,83391,71,1295,75702,75721,19,90.8,Above Dist. %
NANOOR,81219,81130,89,1529,72611,72642,31,89.54,Above Dist. %
RAMPURHAT-II,63378,63366,12,2488,56177,56178,1,88.66,Above Dist. %
KHOYRASOL,70268,70205,63,1293,61445,61469,24,87.56,Above Dist. %
MURARAI-I,52669,52667,2,893,46363,46361,-2,88.03,Above Dist. %
NALHATI-II,45782,45763,19,988,39889,39900,11,87.19,Above Dist. %
MOHAMMAD BAZAR,82062,81997,65,2159,71488,71518,30,87.22,Above Dist. %
DUBRAJPUR,81340,81111,229,2644,70568,70583,15,87.02,Above Dist. %
SURI-I,42950,41678,1272,954,36218,36224,6,86.91,Above Dist. %
LABPUR,85086,85045,41,2994,73340,73353,13,86.25,Below Dist. %
NALHATI-I,81759,81690,69,1831,70590,70728,138,86.58,Above Dist. %
MURARAI-II,73175,73167,8,1700,62893,62896,3,85.96,Below Dist. %
RAJNAGAR,35697,35678,19,944,30369,30383,14,85.16,Below Dist. %
ILLAMBAZAR,74984,74968,16,1927,63719,63759,40,85.05,Below Dist. %
SURI-II,39975,38153,1822,1346,32344,32360,16,84.82,Below Dist. %
MAYURESWAR-II,57663,57611,52,1696,48300,48312,12,83.86,Below Dist. %
BOLPUR-SRINIKETAN,80332,80284,48,2517,67912,68019,107,84.72,Below Dist. %
MAYURESWAR-I,70040,69983,57,2832,57323,57324,1,81.91,Below Dist. %
RAMPURHAT-I,72219,72204,15,2189,58634,58684,50,81.28,Below Dist. %
