Block Name,Gram Panchayats,No of VB-G RAM G Works AS Approved,VB-G RAM G Works Pending at Estimate Creation,Estimate Created Works,GPs Running Today,Total Works Ongoing,No of Works in Field Todays,Persondays Generated in Field Todays,Total Persondays Generated,Avg. No. of Works Approved per GP,Avg. No. of Works running per GP,GPs Not Running Today
BOLPUR-SRINIKETAN,9,150,85,65,9,59,23,148,2949,9,3,0
DUBRAJPUR,10,140,76,64,6,70,15,136,1625,8,2,4
ILLAMBAZAR,9,176,137,39,6,68,17,75,2071,15,2,3
KHOYRASOL,10,165,90,75,9,43,33,290,3209,9,3,1
LABPUR,11,145,96,49,10,53,29,173,1050,9,3,1
MAYURESWAR-I,9,80,31,49,6,123,7,43,3068,3,1,3
MAYURESWAR-II,7,82,46,36,4,33,11,141,2157,7,2,3
MOHAMMAD BAZAR,12,118,93,25,9,37,21,157,2235,8,2,3
MURARAI-I,7,105,50,55,6,37,10,46,744,7,1,1
MURARAI-II,9,139,95,44,7,70,35,137,1739,11,4,2
NALHATI-I,9,152,78,74,5,35,19,72,2492,9,2,4
NALHATI-II,6,77,54,23,6,43,25,83,558,9,4,0
NANOOR,11,102,72,30,9,61,13,130,994,7,1,2
RAJNAGAR,5,116,63,53,5,22,13,85,816,13,3,0
RAMPURHAT-I,9,94,76,18,5,41,10,63,645,8,1,4
RAMPURHAT-II,9,70,48,22,6,39,19,52,682,5,2,3
SAINTHIA,12,239,53,186,10,30,17,123,1643,4,1,2
SURI-I,7,109,44,65,6,57,13,68,355,6,2,1
SURI-II,6,96,81,15,6,22,30,313,1764,14,5,0
