Block Name,Pending FTOs,Pending Amount (Rs.),FTOs Checked,Accepted Amount (Rs.),Rejected Amount (Rs.),Verified Amount (Rs.),Pending Amount (Rs.) Remaining,% Pending
BOLPUR-SRINIKETAN,193,129542371,193,129542371,0,129542371,0,0
DUBRAJPUR,135,88288843,2,720487,0,720487,87568356,99
ILLAMBAZAR,82,50360591,49,32188213,4518782,36706995,13653596,27
KHOYRASOL,29,18741922,5,1674403,0,1674403,17067519,91
LABPUR,91,37919172,24,6929687,0,6929687,30989485,82
MAYURESWAR-I,79,48931764,44,40880516,0,40880516,8051248,16
MAYURESWAR-II,23,12923575,23,12923575,0,12923575,0,0
MOHAMMAD BAZAR,99,34929132,10,2803891,0,2803891,32125241,92
MURARAI-I,92,32299623,92,32299623,0,32299623,0,0
MURARAI-II,118,59859142,82,46951786,0,46951786,12907356,22
NALHATI-I,64,13686787,7,4511170,0,4511170,9175617,67
NALHATI-II,131,15181841,124,14875025,0,14875025,306816,2
NANOOR,53,35945283,40,23146761,0,23146761,12798522,36
RAJNAGAR,23,22590970,10,9997352,0,9997352,12593618,56
RAMPURHAT-I,68,47742834,5,4104217,0,4104217,43638617,91
RAMPURHAT-II,83,13597415,4,1218150,0,1218150,12379265,91
SAINTHIA,40,44049275,7,11194633,68810,11263443,32785832,74
SURI-I,70,21659248,3,3983717,0,3983717,17675531,82
SURI-II,78,13038615,47,8078283,0,8078283,4960332,38
