Block Name,No. of Gram Panchayat (GP),No. of Villages,No. of Approved Works,% of Approved Works against Villages,No. of Ongoing Works,% of Ongoing Works against Villages
BOLPUR-SRINIKETAN,9,169,111,65.68,52,30.77
DUBRAJPUR,10,226,96,42.48,23,10.18
ILLAMBAZAR,9,134,125,93.28,113,84.33
KHOYRASOL,10,170,104,61.18,58,34.12
LABPUR,11,180,121,67.22,59,32.78
MAYURESWAR-I,9,114,47,41.23,10,8.77
MAYURESWAR-II,7,131,79,60.31,30,22.9
MOHAMMAD BAZAR,12,158,78,49.37,47,29.75
MURARAI-I,7,83,47,56.63,14,16.87
MURARAI-II,9,72,62,86.11,52,72.22
NALHATI-I,9,95,85,89.47,42,44.21
NALHATI-II,6,48,53,110.42,37,77.08
NANOOR,11,138,83,60.14,31,22.46
RAJNAGAR,5,99,96,96.97,34,34.34
RAMPURHAT-I,9,120,81,67.5,21,17.5
RAMPURHAT-II,9,96,41,42.71,25,26.04
SAINTHIA,12,232,57,24.57,32,13.79
SURI-I,7,115,61,53.04,25,21.74
SURI-II,6,94,74,78.72,53,56.38
