Block Name,Anganwadi/Other Rural Infrastructure,Drought Proofing,Fisheries,Flood Control and Protection,Micro Irrigation Works,Renovation of traditional water bodies,Rural Connectivity,Rural Sanitation,Water Conservation and Water Harvesting,Grand Total
BOLPUR-SRINIKETAN,0,111,0,0,1,8,4,3,2,129
DUBRAJPUR,0,103,0,0,0,34,0,1,6,144
ILLAMBAZAR,7,124,1,0,0,11,2,4,27,176
KHOYRASOL,2,108,0,1,0,21,18,5,9,164
LABPUR,0,121,1,0,0,2,14,6,7,152
MAYURESWAR-I,0,48,0,3,1,1,1,1,28,82
MAYURESWAR-II,0,83,0,0,0,9,0,1,0,93
MOHAMMAD BAZAR,0,78,0,0,0,12,0,0,23,113
MURARAI-I,1,47,0,10,0,4,5,0,6,73
MURARAI-II,0,65,0,0,0,7,6,0,52,135
NALHATI-I,9,85,0,15,2,14,4,13,10,152
NALHATI-II,0,53,1,1,1,1,3,12,9,80
NANOOR,0,87,0,0,0,26,0,1,0,114
RAJNAGAR,0,97,0,0,0,16,0,0,0,113
RAMPURHAT-I,0,81,0,2,0,4,2,1,6,96
RAMPURHAT-II,0,42,0,0,0,14,0,0,9,65
SAINTHIA,31,62,0,41,0,40,21,17,25,237
SURI-I,9,61,0,0,0,7,0,0,7,84
SURI-II,0,75,0,0,0,13,0,0,4,96
